# (n,g)     reaction
# E_in [eV]   sigma[barns]
3.271394e+00  5.150881e-02
3.313548e+00  5.002350e-02
3.355702e+00  4.861061e-02
3.397857e+00  4.726560e-02
3.440011e+00  4.598424e-02
3.482165e+00  4.476263e-02
3.524319e+00  4.359716e-02
3.570405e+00  4.238327e-02
3.616492e+00  4.122845e-02
3.662579e+00  4.012898e-02
3.708665e+00  3.908141e-02
3.754752e+00  3.808257e-02
3.800838e+00  3.712951e-02
3.846925e+00  3.621949e-02
3.893011e+00  3.535000e-02
3.939098e+00  3.451868e-02
3.985184e+00  3.372335e-02
4.077358e+00  3.223266e-02
4.169531e+00  3.086330e-02
4.261704e+00  2.960253e-02
4.328458e+00  2.875088e-02
4.395211e+00  2.794656e-02
4.465509e+00  2.714691e-02
4.535807e+00  2.639231e-02
4.606105e+00  2.567942e-02
4.676402e+00  2.500524e-02
4.746700e+00  2.436702e-02
4.816998e+00  2.376224e-02
4.887295e+00  2.318861e-02
4.957593e+00  2.264401e-02
5.027891e+00  2.212653e-02
5.098188e+00  2.163438e-02
5.168486e+00  2.116593e-02
5.238784e+00  2.071968e-02
5.379379e+00  1.988833e-02
5.519974e+00  1.913046e-02
5.610762e+00  1.867609e-02
5.701551e+00  1.824679e-02
5.792339e+00  1.784075e-02
5.883127e+00  1.745630e-02
5.973915e+00  1.709191e-02
6.064703e+00  1.674621e-02
6.246279e+00  1.610588e-02
6.427855e+00  1.552639e-02
6.609431e+00  1.500019e-02
6.791007e+00  1.452088e-02
6.972583e+00  1.408298e-02
7.197738e+00  1.359055e-02
7.422893e+00  1.314707e-02
7.648049e+00  1.274624e-02
7.873204e+00  1.238271e-02
8.098359e+00  1.205199e-02
8.323514e+00  1.175026e-02
8.548669e+00  1.147423e-02
8.773824e+00  1.122110e-02
8.848869e+00  1.114139e-02
9.151811e+00  1.084111e-02
9.454753e+00  1.057184e-02
9.757695e+00  1.032960e-02
1.006064e+01  1.011109e-02
1.036358e+01  9.913499e-03
1.066652e+01  9.734478e-03
1.096946e+01  9.572017e-03
1.127241e+01  9.424402e-03
1.176983e+01  9.210444e-03
1.226725e+01  9.027272e-03
1.280102e+01  8.860180e-03
1.333480e+01  8.719639e-03
1.386857e+01  8.602504e-03
1.440235e+01  8.506375e-03
1.497225e+01  8.424924e-03
1.549579e+01  8.368127e-03
1.601934e+01  8.327909e-03
1.654289e+01  8.304101e-03
1.706644e+01  8.297083e-03
1.775555e+01  8.315362e-03
1.810011e+01  8.337572e-03
1.844466e+01  8.369756e-03
1.868820e+01  8.399265e-03
1.900206e+01  8.446730e-03
1.931592e+01  8.506535e-03
1.962978e+01  8.581169e-03
1.994363e+01  8.674082e-03
2.018669e+01  8.761620e-03
2.042975e+01  8.866102e-03
2.067281e+01  8.991723e-03
2.091586e+01  9.144255e-03
2.110400e+01  9.285835e-03
2.129213e+01  9.453492e-03
2.148027e+01  9.654185e-03
2.157433e+01  9.769780e-03
2.166840e+01  9.897491e-03
2.181409e+01  1.012355e-02
2.188694e+01  1.025173e-02
2.195979e+01  1.039170e-02
2.203263e+01  1.054502e-02
2.210548e+01  1.071350e-02
2.217832e+01  1.089928e-02
2.225117e+01  1.110488e-02
2.230757e+01  1.127958e-02
2.236397e+01  1.146960e-02
2.242037e+01  1.167684e-02
2.247678e+01  1.190350e-02
2.253318e+01  1.215216e-02
2.258958e+01  1.242583e-02
2.264598e+01  1.272805e-02
2.270238e+01  1.306305e-02
2.274605e+01  1.334807e-02
2.278972e+01  1.365845e-02
